index_id,customer_id,fullname,Age,Gender,Favoured_Payment_method,Favourdured_Product_Categort
,KH7896,Mason Ramirez,66,Male,Cash,Books
,KH5978,Douglas Jones,28,Male,PayPal,Clothing
,KH3576,Aaron Harrell,30,Male,Credit Card,Clothing
,KH3254,Alexander Maynard,27,Male,Crypto,Electronics
,KH26881,Ashley Fitzpatrick,63,Male,Credit Card,Home
,KH29089,Jill Cameron,68,Female,PayPal,Clothing
,KH6717,Gary Jones,56,Female,Credit Card,Clothing
,KH9575,Christopher Jackson,44,Male,PayPal,Home
,KH5684,Julian Austin,68,Male,Credit Card,Books
,KH48873,Frances Doyle,49,Female,Cash,Home
,KH38623,Larry Burns,19,Female,Cash,Clothing
,KH8370,Raymond Mejia,42,Male,Credit Card,Books
,KH41085,Ralph Mclean,66,Female,Credit Card,Books
,KH30759,April Marshall DDS,36,Female,Credit Card,Home
,KH18314,Lauren Stevens,45,Female,PayPal,Clothing
,KH11509,Michael Lindsey,52,Male,Credit Card,Books
,KH4939,Michael Wright,39,Male,Credit Card,Home
,KH19235,Grant Medina,33,Male,Cash,Clothing
,KH30410,Melissa Kent,20,Male,PayPal,Books
,KH17603,Tony Torres,47,Male,Credit Card,Electronics
,KH43249,Nicholas Price,70,Male,Credit Card,Books
,KH3211,Roy Ramirez,30,Female,Credit Card,Books
,KH47762,Megan Hurley,64,Female,Credit Card,Clothing
,KH17555,Nicole Jordan,34,Male,PayPal,Home
,KH9809,Mary Krueger DVM,22,Male,Credit Card,Books
,KH3671,Christopher Quinn,25,Female,Credit Card,Home
,KH42278,David Monroe,24,Female,Credit Card,Clothing
,KH29859,Jerome Barnes,26,Female,Cash,Books
,KH10179,Michael Allison,36,Male,PayPal,Electronics
,KH28622,Danny Ramos,69,Male,Credit Card,Clothing
,KH17596,Gregory Hudson,28,Male,Credit Card,Books
,KH41051,Kristin Wilkerson,41,Female,Cash,Books
,KH13646,Monica Proctor,38,Female,Cash,Clothing
,KH47792,Mark King,54,Female,Credit Card,Home
,KH43928,Christopher Waller,25,Female,Credit Card,Home
,KH42045,Edward Chavez,38,Male,PayPal,Clothing
,KH39880,Amber Thomas,39,Male,Cash,Books
,KH6868,Robin Chaney,29,Female,PayPal,Clothing
,KH26505,Monica Chan,24,Male,Cash,Books
,KH19088,Joanna Oliver,25,Male,Credit Card,Home
,KH47151,Jennifer Silva,59,Male,Credit Card,Electronics
,KH26347,James Fox,45,Female,Credit Card,Clothing
,KH3951,James Barnes,49,Female,PayPal,Books
,KH19364,Ryan Hill DDS,68,Male,Cash,Home
,KH10651,Charles Benitez,69,Female,Credit Card,Books
,KH15228,Tiffany Grant,55,Male,Credit Card,Books
,KH47909,Carrie Dunn,50,Female,Credit Card,Electronics
,KH49955,Kevin Smith,29,Male,PayPal,Books
,KH32951,Alexis Andrews,54,Female,Credit Card,Clothing
,KH43184,Erik Marshall,49,Male,PayPal,Home
,KH37292,Julia Jones,34,Male,Cash,Electronics
,KH2632,John Lopez,58,Female,Cash,Books
,KH40233,Jessica Thompson,59,Male,Credit Card,Books
,KH18311,Chris Carter,25,Male,Credit Card,Clothing
,KH23337,Ruth Duncan,22,Male,Credit Card,Books
,KH49866,Meredith Bradley,45,Male,PayPal,Home
,KH48294,Stephanie Smith,31,Female,Credit Card,Books
,KH36600,Eric Scott,32,Male,Credit Card,Books
,KH41155,Kyle Bush,28,Male,Credit Card,Electronics
,KH17379,Faith Fox,64,Male,Credit Card,Clothing
,KH23148,Mrs. Rebecca Smith,45,Male,Credit Card,Electronics
,KH12384,John Cox,54,Female,PayPal,Home
,KH31790,Andrea Owens,65,Female,Credit Card,Books
,KH36391,Brian Obrien,44,Male,Credit Card,Books
,KH26827,Shawna Long,69,Male,PayPal,Books
,KH28714,Wanda Harrell,48,Male,PayPal,Clothing
,KH32290,Shawn Parks,57,Female,Credit Card,Books
,KH4714,Bryan Murphy,52,Female,Credit Card,Books
,KH32334,Michael Richard,41,Female,Credit Card,Home
,KH36882,Angel Nelson,36,Female,Credit Card,Books
,KH11343,Lisa Russell,68,Male,Credit Card,Electronics
,KH9763,Eric Neal,25,Female,Credit Card,Electronics
,KH5436,Scott Anderson,30,Male,Credit Card,Books
,KH28624,Alexander Wilson,44,Female,Credit Card,Books
,KH35564,Tracy Rogers,52,Female,PayPal,Books
,KH37403,Caroline Davis,36,Female,PayPal,Clothing
,KH42408,Brianna Franklin,51,Male,Credit Card,Books
,KH36208,Lori Wilson,29,Male,Credit Card,Home
,KH18181,Kathleen Glover,34,Female,Credit Card,Books
,KH12095,Christopher Sims,19,Male,Cash,Clothing
,KH42828,Daniel Meyers,46,Male,Credit Card,Books
,KH33694,Kara Parks,60,Male,PayPal,Electronics
,KH10411,Omar Sutton,41,Female,PayPal,Electronics
,KH17971,Michael Whitaker Jr.,53,Male,Credit Card,Clothing
,KH24484,Mark Burton,46,Female,Credit Card,Clothing
,KH26964,William Pace,47,Female,Credit Card,Books
,KH20724,Donna Burnett,37,Male,Cash,Clothing
,KH44069,Tiffany Aguilar,41,Male,Credit Card,Books
,KH30175,John Garza,63,Female,PayPal,Books
,KH6336,Hannah Alexander,43,Female,PayPal,Books
,KH20441,David Ferguson,69,Female,Credit Card,Clothing
,KH26800,Amanda Alvarado,47,Female,Credit Card,Home
,KH5257,Christopher Rojas,61,Male,Cash,Clothing
,KH23274,Samantha Smith,31,Male,PayPal,Books
,KH43180,Bryce Miranda,68,Female,Credit Card,Electronics
,KH40516,William Rodriguez,42,Female,PayPal,Clothing
,KH28218,Ashley Pitts,22,Female,PayPal,Clothing
,KH759,Deborah Hoffman,45,Female,Credit Card,Clothing
,KH9507,Felicia Garcia,60,Male,Credit Card,Books
,KH11646,Jamie Carpenter,45,Male,Credit Card,Clothing
,KH35280,Bryan Mclaughlin,36,Female,Credit Card,Electronics
,KH25161,Debra Elliott,64,Male,Cash,Home
,KH45031,Jeffery Ford,69,Male,Credit Card,Clothing
,KH42667,Julie Irwin,50,Female,Credit Card,Clothing
,KH17880,Joshua Tate,49,Female,Cash,Electronics
,KH35861,Taylor Henderson,35,Female,PayPal,Books
,KH2473,Curtis Adams,64,Female,Credit Card,Home
,KH3850,Brian Jackson,35,Male,Credit Card,Home
,KH42314,Steven Fields,27,Female,Credit Card,Home
,KH20078,Jennifer Foster DDS,22,Male,Credit Card,Clothing
,KH18390,Brittney Ryan,26,Male,Cash,Books
,KH27387,Omar Martinez,64,Male,Crypto,Home
,KH49622,Scott Hernandez,42,Female,Credit Card,Electronics
,KH8870,Catherine Sellers,48,Female,PayPal,Clothing
,KH23445,Craig Buchanan,24,Male,PayPal,Clothing
,KH48344,Alejandra Pope,39,Female,PayPal,Books
,KH40972,Matthew Branch,22,Male,Credit Card,Books
,KH10937,John Contreras,24,Female,PayPal,Books
,KH988,Shelley Anderson,46,Female,Crypto,Books
,KH13285,Anita Valdez,44,Male,Credit Card,Books
,KH46559,Charles Hodge,46,Male,Credit Card,Books
,KH21041,Ronnie Hanson,25,Female,Credit Card,Books
,KH6757,Brooke Thompson,48,Female,Credit Card,Clothing
,KH20095,Mr. Devin Wilson,67,Male,Credit Card,Clothing
,KH12179,Anthony Wood,52,Male,Credit Card,Books
,KH41187,Austin Hamilton,27,Female,PayPal,Clothing
,KH30366,Joel Dennis,18,Male,Credit Card,Clothing
,KH31456,Rachael Stone,66,Male,Cash,Home
,KH46606,Elizabeth Lawrence,46,Female,Credit Card,Clothing
,KH46829,James Matthews,52,Female,PayPal,Books
,KH27831,Steven Robertson,57,Male,PayPal,Books
,KH2728,Jay Meyer,46,Female,Cash,Electronics
,KH19296,Laura Wells,68,Male,PayPal,Home
,KH18131,Kaitlin Drake,33,Male,PayPal,Home
,KH26499,Patricia Hicks,45,Male,PayPal,Books
,KH4742,Colleen Soto,44,Male,Credit Card,Clothing
,KH31914,Daniel Day,62,Male,Credit Card,Electronics
,KH20287,Rebecca Haas,59,Male,PayPal,Electronics
,KH49611,Raymond Phelps,19,Male,Credit Card,Books
,KH35869,Terry Clark,29,Male,PayPal,Home
,KH10020,Kristen Graham,69,Female,Credit Card,Clothing
,KH9416,David Peters,43,Female,PayPal,Clothing
,KH32971,William Stone,24,Female,Cash,Clothing
,KH19216,Jackie Spence,49,Female,Credit Card,Clothing
,KH12335,Jennifer Richardson,18,Female,PayPal,Books
,KH22158,Tracey Robinson,20,Male,PayPal,Clothing
,KH46709,Melissa Bailey,45,Female,PayPal,Books
,KH32346,Dawn Wilson,50,Female,Cash,Books
,KH17088,Elizabeth Young,66,Male,Crypto,Books
,KH48448,Christopher Carrillo,40,Female,PayPal,Clothing
,KH31907,Brandon Kennedy,47,Female,Cash,Clothing
,KH39644,Amber Martinez,51,Male,Cash,Clothing
,KH19121,Joel Wells,50,Female,PayPal,Clothing
,KH19215,Tammy Mendez,54,Male,Credit Card,Books
,KH22239,Eddie Romero,24,Male,Cash,Clothing
,KH48180,Mitchell Barrett,19,Female,Credit Card,Books
,KH29363,Andrea Harmon,43,Male,PayPal,Books
,KH44605,Stephanie Martinez,31,Female,Cash,Electronics
,KH40699,Ronald Kelley,59,Female,Crypto,Clothing
,KH40935,Andre Wang,53,Female,Credit Card,Books
,KH37217,Thomas Davis,34,Female,Credit Card,Home
,KH23914,Jennifer Kline,55,Male,PayPal,Clothing
,KH2157,Joseph Carroll,27,Male,Credit Card,Clothing
,KH15677,Hailey Cooke,46,Female,Credit Card,Books
,KH36099,Joshua Evans,25,Female,PayPal,Clothing
,KH16006,Brian Williams,37,Female,Credit Card,Books
,KH1673,Leah Jackson,19,Male,Cash,Electronics
,KH33377,Kenneth Jones,63,Male,PayPal,Home
,KH43766,Hannah Merritt,28,Female,Credit Card,Books
,KH4299,Mr. Jason Anthony,58,Female,Cash,Home
,KH35043,Brett Keith,61,Female,Credit Card,Clothing
,KH17282,Dean Cooke,30,Male,PayPal,Clothing
,KH29184,Allen Griffin,19,Male,Cash,Clothing
,KH14402,Amy Brown,19,Male,PayPal,Books
,KH37400,Teresa Miller,61,Female,Cash,Books
,KH33755,Christina Shaffer,51,Male,Cash,Electronics
,KH23680,Richard Kelly,50,Male,Credit Card,Clothing
,KH3322,Valerie Williams,52,Male,Credit Card,Home
,KH2533,Susan Macias,41,Male,Cash,Books
,KH22083,William Dennis,70,Female,PayPal,Clothing
,KH26568,Eric Thomas,33,Male,Credit Card,Books
,KH38085,Stacey Duffy,44,Female,PayPal,Books
,KH28441,Andrea Mora,37,Male,PayPal,Books
,KH8321,Karen Greene,49,Female,Crypto,Books
,KH41513,Christopher Jones,37,Female,Cash,Electronics
,KH24239,Stephanie Harris,27,Male,Crypto,Electronics
,KH48435,Kimberly Lyons,22,Male,Crypto,Electronics
,KH16242,Randy Collins,60,Male,Credit Card,Books
,KH16918,Christopher Stone,22,Male,Credit Card,Home
,KH38243,James Hayes,54,Male,PayPal,Home
,KH11454,Amanda Wright,33,Male,Credit Card,Books
,KH22711,Adam Wagner,43,Female,Cash,Clothing
,KH1071,Sabrina Lewis,25,Male,Credit Card,Clothing
,KH15593,Angela Nelson,61,Male,PayPal,Books
,KH6369,April Mckinney,42,Female,Credit Card,Home
,KH12904,Brandy Moore,34,Female,Credit Card,Clothing
,KH45018,Crystal Gregory,24,Male,PayPal,Clothing
,KH27113,Ryan Peterson,66,Male,Credit Card,Books
,KH5666,Ashlee Hoover,50,Male,Credit Card,Home
,KH19113,Marcus Lyons,50,Male,Credit Card,Home
,KH9859,Cody Warner,43,Male,Credit Card,Books
,KH29719,Kyle Garcia,64,Female,Credit Card,Electronics
,KH24384,Jake Miller,59,Female,PayPal,Clothing
,KH2102,Jeffrey Harris,59,Female,Credit Card,Books
,KH34604,Tracey Stanton,33,Female,Cash,Books
,KH43438,Justin Jones,49,Male,Credit Card,Books
,KH45565,Mary Johnson,60,Male,Credit Card,Books
,KH35054,Sarah Odom,46,Female,PayPal,Clothing
,KH25525,James Barajas,56,Female,Credit Card,Clothing
,KH34312,Kelly Ortiz,54,Female,Credit Card,Books
,KH36900,Jeffrey Jackson,27,Male,PayPal,Clothing
,KH7445,Mallory Boyd,23,Female,Credit Card,Electronics
,KH21582,Stephen Becker,44,Female,Cash,Clothing
,KH37866,Rachel Robinson,36,Male,Cash,Clothing
,KH12148,Mary Compton,66,Male,Credit Card,Clothing
,KH45621,Mrs. Linda Rich,19,Female,PayPal,Home
,KH20810,Ebony Collins,48,Female,PayPal,Clothing
,KH8691,Jimmy Lewis,37,Male,Credit Card,Books
,KH21823,Jerry Anderson,42,Female,Crypto,Clothing
,KH20664,Haley Morgan,61,Female,Credit Card,Clothing
,KH49271,Kristi Welch,18,Female,Credit Card,Clothing
,KH16518,James Johnson III,56,Female,Credit Card,Clothing
,KH6311,Gary Ward,34,Female,Credit Card,Electronics
,KH41921,Michael Chandler,34,Male,Credit Card,Clothing
,KH36103,Michelle Marquez,25,Female,Credit Card,Clothing
,KH31148,Daniel Brown,36,Female,Credit Card,Books
,KH8566,Carla Burton,28,Female,Cash,Books
,KH19914,Adam Smith,23,Male,Cash,Books
,KH22476,Brian Mitchell,67,Male,PayPal,Clothing
,KH23305,Alexandra Reed,34,Female,Credit Card,Clothing
,KH43695,Bradley Richardson,45,Male,Credit Card,Books
,KH40848,Dawn Turner,55,Female,Credit Card,Home
,KH17967,Wendy Johnson,63,Female,Cash,Clothing
,KH13518,Erica Turner,18,Male,PayPal,Clothing
,KH32116,Randy Stevens,58,Female,PayPal,Home
,KH13918,Jason Todd,19,Female,Credit Card,Books
,KH20854,Teresa Riley,61,Male,Credit Card,Clothing
,KH23891,Jennifer Shaw,26,Female,PayPal,Home
,KH46153,Tony Chen,56,Male,Credit Card,Books
,KH10807,Jon Chavez,31,Female,Cash,Electronics
,KH33300,Lisa Duran,32,Female,Cash,Books
,KH36614,Mrs. Amy Owens MD,19,Male,Credit Card,Books
,KH5981,Bryan Bowen,19,Female,Cash,Electronics
,KH8946,Courtney Lane,39,Male,Credit Card,Home
,KH16361,Katherine Wall,26,Male,Credit Card,Clothing
,KH48634,Kristopher Reed,54,Male,PayPal,Clothing
,KH43690,Sandra Foster,60,Male,PayPal,Books
,KH31073,Mike Hernandez,66,Female,Crypto,Clothing
,KH31741,Amanda Barber,24,Female,Cash,Clothing
,KH6476,Nancy Hernandez,32,Male,PayPal,Electronics
,KH35355,Rebecca Oliver,27,Male,PayPal,Clothing
,KH39216,Sean Marshall,28,Male,Credit Card,Clothing
,KH23944,Jennifer Brooks,24,Male,Credit Card,Books
,KH39209,Timothy Sanchez,36,Female,Credit Card,Clothing
,KH31204,Zachary Jenkins,47,Female,Credit Card,Books
,KH21097,Crystal Owens,29,Female,PayPal,Home
,KH46410,Samantha Taylor,69,Female,Credit Card,Home
,KH28121,Nicole Golden,30,Female,PayPal,Books
,KH41291,Allison Barber,41,Female,Credit Card,Home
,KH3388,Kerri Curtis,55,Male,Credit Card,Electronics
,KH18171,Brian Thomas,61,Male,PayPal,Clothing
,KH1701,Michelle Wolfe,26,Male,Credit Card,Home
,KH19040,Jose Gates,51,Male,Credit Card,Books
,KH23448,Jean Stewart,39,Female,Cash,Clothing
,KH30599,Jessica Leonard,48,Male,Credit Card,Electronics
,KH29272,Lisa Lyons,69,Female,PayPal,Books
,KH39376,Tanya Coleman,65,Female,Cash,Clothing
,KH42163,Aaron Perez,35,Female,PayPal,Books
,KH2600,Amber Duncan,40,Male,Credit Card,Clothing
,KH39294,Jessica Mcclure,51,Female,PayPal,Clothing
,KH15941,Martin Davis,30,Female,Cash,Clothing
,KH34830,Vanessa Wilson,62,Female,Credit Card,Books
,KH9723,Erika Rollins,54,Male,PayPal,Clothing
,KH13190,Kathleen Stephens,65,Female,Credit Card,Electronics
,KH26994,Joseph Ware,64,Male,Credit Card,Clothing
,KH44822,Tracy Farmer,61,Female,PayPal,Clothing
,KH49123,Michael Warren,53,Female,Cash,Clothing
,KH19930,Kristen Armstrong,45,Male,Credit Card,Electronics
,KH5935,Trevor Middleton,24,Male,Credit Card,Electronics
,KH34070,Karen Santana,23,Male,Credit Card,Books
,KH41367,Linda Owens,61,Female,Credit Card,Clothing
,KH16959,Brandi Wright,22,Female,Credit Card,Electronics
,KH132,Michael Avila,20,Female,Cash,Clothing
,KH6960,Christopher Ramsey,69,Female,Credit Card,Clothing
,KH30625,Andrew Mendoza,70,Male,Credit Card,Electronics
,KH3505,Courtney Calderon,48,Male,Cash,Clothing
,KH3190,Kayla Wilkerson,31,Female,PayPal,Clothing
,KH3828,Laurie Johnson,31,Female,Credit Card,Electronics
,KH2753,Brittany Mullins,20,Female,Cash,Clothing
,KH27121,Mary Wagner,56,Female,PayPal,Clothing
,KH8325,Maria Robbins,46,Male,Credit Card,Clothing
,KH39479,Theodore Guerra,67,Female,PayPal,Home
,KH47737,Angela Smith,48,Female,Credit Card,Books
,KH16125,Ann Moore,62,Female,PayPal,Electronics
,KH48787,Brandi Ball,62,Female,Cash,Electronics
,KH6608,Robert Kramer,40,Female,Cash,Clothing
,KH39143,Frances Walsh,53,Male,Credit Card,Home
,KH42375,Travis Hendrix,66,Female,PayPal,Clothing
,KH7203,Marcus Wilson,43,Female,Credit Card,Electronics
,KH13678,Gloria Davies,49,Female,Credit Card,Books
,KH43287,Cynthia Mosley MD,20,Male,Credit Card,Electronics
,KH30781,Larry Velazquez,62,Male,PayPal,Home
,KH6237,Adam Baker,28,Female,Credit Card,Clothing
,KH13708,Diane Reynolds,46,Female,Credit Card,Books
,KH25526,Corey Ramos,20,Female,PayPal,Home
,KH12901,Hannah Adams,66,Female,Credit Card,Electronics
,KH36160,Kenneth Moreno,40,Male,PayPal,Clothing
,KH31627,Gary Harris,33,Female,Credit Card,Clothing
,KH1347,Tina Gonzalez,60,Male,Crypto,Books
,KH14063,Tara Richardson,23,Male,PayPal,Books
,KH29617,Andrea Woods,24,Male,Credit Card,Clothing
,KH33739,Martin Johnson,22,Female,Credit Card,Home
,KH24903,Amy Moreno,30,Female,Credit Card,Clothing
,KH13591,Mark Patel,61,Male,PayPal,Books
,KH44217,Brandon Johns,22,Male,PayPal,Clothing
,KH4593,Kelly Norris,57,Female,Credit Card,Electronics
,KH38318,Michael Walton,19,Female,Credit Card,Clothing
,KH8474,Philip Thomas,51,Male,Credit Card,Books
,KH24839,Tamara Anderson,42,Female,Credit Card,Clothing
,KH16973,Brian Coleman,29,Female,Crypto,Clothing
,KH31103,Sergio Abbott,30,Female,Credit Card,Books
,KH32072,William Miller,25,Female,Credit Card,Electronics
,KH17256,Timothy Downs,55,Female,Cash,Home
,KH3324,Sarah Davis,43,Male,Credit Card,Home
,KH4748,Laura Frost,31,Male,Credit Card,Home
,KH37122,Michael Anderson,45,Male,PayPal,Home
,KH24026,Lori Miller,52,Male,Credit Card,Books
,KH34709,Bryce Reyes,56,Female,Cash,Home
,KH36456,Bryce Powers,22,Male,Credit Card,Home
,KH37460,April Mcgee,30,Female,Credit Card,Books
,KH23136,Juan Warren,53,Male,Cash,Books
,KH30032,Michael Maldonado,26,Female,Credit Card,Clothing
,KH1818,Gerald Cruz,32,Male,Credit Card,Clothing
,KH35119,Amanda Ellis,67,Female,Cash,Books
,KH36753,Christopher Miller,48,Male,Credit Card,Clothing
,KH39383,Thomas Johnson,49,Female,PayPal,Books
,KH46250,Jamie Gonzalez,64,Female,PayPal,Electronics
,KH3029,Richard Baker,22,Female,Credit Card,Books
,KH47666,Bobby Schultz,38,Female,PayPal,Home
,KH4040,Holly Cook,46,Female,Credit Card,Books
,KH790,Michael Stein,56,Female,Credit Card,Electronics
,KH21942,Nicholas Ramirez,58,Female,Cash,Books
,KH41546,Brian Anderson,23,Male,PayPal,Home
,KH37818,Benjamin Cain,41,Male,Credit Card,Clothing
,KH4147,Stephen Waters,27,Female,Credit Card,Clothing
,KH23040,David Chen,49,Female,Cash,Books
,KH37815,Seth Norris,30,Male,Credit Card,Books
,KH44354,Charles Bailey,68,Male,Credit Card,Clothing
,KH7851,Joe Ashley,54,Male,Credit Card,Clothing
,KH38550,Matthew Lewis,20,Female,Credit Card,Clothing
,KH1879,Scott Meyer,20,Male,Credit Card,Home
,KH255,Jordan Juarez,23,Female,Credit Card,Home
,KH38535,Erik Morton,52,Female,Credit Card,Clothing
,KH47715,Adam Raymond,49,Female,Credit Card,Books
,KH3688,Robert Green,39,Female,Credit Card,Electronics
,KH45048,Elizabeth Sherman,52,Male,Cash,Books
,KH49460,Edward Patton,51,Female,PayPal,Clothing
,KH32716,Carolyn Anderson,49,Male,PayPal,Electronics
,KH24692,David Meyer,44,Female,PayPal,Books
,KH24917,Mary Martinez,67,Male,Credit Card,Books
,KH29989,Charles Tyler,69,Male,Credit Card,Books
,KH1913,Amanda Taylor,22,Female,Credit Card,Electronics
,KH23193,Holly Alvarez,66,Female,Credit Card,Clothing
,KH26991,Sean Newton,29,Female,Credit Card,Books
,KH45632,Patrick Curtis,28,Male,Credit Card,Books
,KH35773,George Carlson,41,Male,Credit Card,Home
,KH29362,Bryan Smith,21,Male,PayPal,Electronics
,KH46038,Amy Bryant,45,Male,PayPal,Clothing
,KH12960,Melinda Baker,21,Male,Credit Card,Clothing
,KH35992,Luis Boyd,52,Male,Credit Card,Home
,KH37959,Christopher Powers,24,Female,Cash,Clothing
,KH34054,Kristina Rose,35,Male,PayPal,Books
,KH49741,Holly Robertson,60,Male,Credit Card,Clothing
,KH14396,Brittney Nelson,38,Female,Credit Card,Books
,KH35888,Joshua Rodriguez,67,Male,Credit Card,Home
,KH6745,Elizabeth English,34,Male,Credit Card,Clothing
,KH47804,Jessica Bartlett,60,Male,Cash,Books
,KH12307,Brian Dean,65,Female,Credit Card,Books
,KH44196,Nathan Nguyen,54,Male,Credit Card,Clothing
,KH33036,Amanda Wagner,18,Male,Credit Card,Electronics
,KH36004,Melissa Patel,64,Male,Credit Card,Books
,KH47135,Angela Barajas,44,Male,PayPal,Books
,KH10622,William Mathews,65,Male,Credit Card,Home
,KH4645,Mrs. Sara Vaughan,67,Male,Cash,Books
,KH24738,Charles Jackson,33,Male,Cash,Books
,KH48789,Sarah Orr,30,Female,Cash,Clothing
,KH46225,Joseph Ramirez,62,Female,Cash,Books
,KH38484,Lisa Pearson,64,Male,PayPal,Electronics
,KH32818,Tyler Sharp,45,Male,Credit Card,Electronics
,KH29334,Dennis Douglas,47,Male,PayPal,Clothing
,KH49475,Charles Mora,65,Male,PayPal,Clothing
,KH32394,Bridget Nash,58,Male,PayPal,Clothing
,KH13570,Melissa Lewis,53,Male,Cash,Clothing
,KH4701,Catherine Smith,65,Female,Credit Card,Books
,KH4635,Leonard Osborn,24,Male,Credit Card,Books
,KH26888,Gina Johnson,56,Male,PayPal,Books
,KH23918,Stacey Turner,45,Female,PayPal,Home
,KH46296,Diane Hood,32,Female,Credit Card,Books
,KH10328,Madeline Stewart,27,Male,Credit Card,Electronics
,KH25334,Lynn Gaines,41,Male,Credit Card,Clothing
,KH37259,Kenneth Ortega,37,Male,PayPal,Books
,KH48422,Susan Brooks,43,Female,Credit Card,Books
,KH27068,Betty Huber,22,Male,PayPal,Books
,KH30586,Nicholas Anderson,48,Female,Cash,Clothing
,KH42790,Alex Graham,66,Female,PayPal,Home
,KH32098,Jessica Patrick,45,Female,Credit Card,Electronics
,KH11799,Lisa Burnett,59,Female,Credit Card,Electronics
,KH36036,John Barber,64,Female,Cash,Books
,KH45135,Joseph Murphy,63,Female,PayPal,Electronics
