Customer ID,TotalSpent,Frequency,Name,LastPurchaseDate,TotalSpentFormatted,Recency,Cluster,Customer_Labels
25798,4888,8,Yvette Garrison,2023-03-02,"$4,888.00",197,0,VIP Customers
19511,3477,6,Jennifer Schroeder,2023-07-15,"$3,477.00",62,2,Regular Customers
44616,1467,2,Beverly White,2020-12-18,"$1,467.00",1000,1,Lapsed Customers
2935,1831,3,Kristy Davidson,2023-07-08,"$1,831.00",69,2,Regular Customers
47245,3401,5,Nancy Murphy,2023-05-05,"$3,401.00",133,2,Regular Customers
1350,3978,6,Steven Morris,2023-05-06,"$3,978.00",131,2,Regular Customers
20370,2410,2,Christopher Robinson,2023-04-12,"$2,410.00",156,2,Regular Customers
15574,5366,8,Lisa Jones,2023-07-16,"$5,366.00",61,0,VIP Customers
556,3958,6,Roberto Combs,2022-07-10,"$3,958.00",431,2,Regular Customers
727,2780,3,Andrew Melendez,2023-01-31,"$2,780.00",226,2,Regular Customers
18972,5905,4,Amanda Clark,2022-02-28,"$5,905.00",564,1,Lapsed Customers
20592,4893,10,John Morales,2023-04-18,"$4,893.00",149,0,VIP Customers
10687,6471,5,Ryan Schwartz,2023-02-06,"$6,471.00",220,0,VIP Customers
22131,7473,11,David Moran,2023-07-15,"$7,473.00",62,0,VIP Customers
29460,1257,2,Edward Jones,2023-05-19,"$1,257.00",119,2,Regular Customers
7896,5619,6,Mason Ramirez,2023-06-14,"$5,619.00",92,0,VIP Customers
5978,4506,6,Douglas Jones,2022-12-18,"$4,506.00",270,2,Regular Customers
3576,8843,14,Aaron Harrell,2023-01-15,"$8,843.00",242,0,VIP Customers
3254,7126,5,Alexander Maynard,2023-05-07,"$7,126.00",131,0,VIP Customers
26881,3908,5,Ashley Fitzpatrick,2022-12-31,"$3,908.00",258,2,Regular Customers
29089,6657,7,Jill Cameron,2022-06-13,"$6,657.00",458,0,VIP Customers
6717,1494,5,Gary Jones,2023-08-27,"$1,494.00",19,2,Regular Customers
9575,5428,10,Christopher Jackson,2022-09-13,"$5,428.00",366,0,VIP Customers
5684,5197,7,Julian Austin,2023-07-19,"$5,197.00",58,0,VIP Customers
48873,3002,3,Frances Doyle,2021-08-27,"$3,002.00",748,1,Lapsed Customers
38623,3749,5,Larry Burns,2022-09-02,"$3,749.00",378,2,Regular Customers
8370,4633,5,Raymond Mejia,2023-01-07,"$4,633.00",250,2,Regular Customers
41085,5698,5,Ralph Mclean,2023-08-16,"$5,698.00",29,0,VIP Customers
30759,6643,5,April Marshall DDS,2022-04-25,"$6,643.00",507,0,VIP Customers
18314,5999,8,Lauren Stevens,2023-06-15,"$5,999.00",91,0,VIP Customers
11509,5033,7,Michael Lindsey,2022-08-23,"$5,033.00",387,0,VIP Customers
4939,1243,4,Michael Wright,2022-12-14,"$1,243.00",274,2,Regular Customers
19235,3482,4,Grant Medina,2023-08-18,"$3,482.00",28,2,Regular Customers
30410,3881,7,Melissa Kent,2023-03-12,"$3,881.00",186,0,VIP Customers
17603,5179,6,Tony Torres,2022-06-15,"$5,179.00",457,0,VIP Customers
43249,2658,3,Nicholas Price,2022-12-09,"$2,658.00",280,2,Regular Customers
3211,5946,7,Roy Ramirez,2023-09-10,"$5,946.00",4,0,VIP Customers
47762,6434,8,Megan Hurley,2022-04-10,"$6,434.00",522,0,VIP Customers
17555,3734,6,Nicole Jordan,2023-01-10,"$3,734.00",248,2,Regular Customers
9809,3720,5,Mary Krueger DVM,2023-05-04,"$3,720.00",134,2,Regular Customers
3671,5042,8,Christopher Quinn,2022-08-22,"$5,042.00",389,0,VIP Customers
42278,4752,6,David Monroe,2023-08-05,"$4,752.00",40,0,VIP Customers
29859,2955,4,Jerome Barnes,2023-02-27,"$2,955.00",200,2,Regular Customers
10179,5388,4,Michael Allison,2023-08-25,"$5,388.00",21,2,Regular Customers
28622,2353,3,Danny Ramos,2023-04-06,"$2,353.00",161,2,Regular Customers
17596,2438,3,Gregory Hudson,2022-06-22,"$2,438.00",449,1,Lapsed Customers
41051,3754,6,Kristin Wilkerson,2023-07-06,"$3,754.00",71,2,Regular Customers
13646,1448,4,Monica Proctor,2022-12-18,"$1,448.00",271,2,Regular Customers
47792,3046,3,Mark King,2023-03-24,"$3,046.00",175,2,Regular Customers
43928,5025,4,Christopher Waller,2023-07-07,"$5,025.00",69,2,Regular Customers
42045,3654,4,Edward Chavez,2023-08-17,"$3,654.00",28,2,Regular Customers
39880,2431,4,Amber Thomas,2023-09-01,"$2,431.00",14,2,Regular Customers
6868,3706,7,Robin Chaney,2023-03-17,"$3,706.00",182,0,VIP Customers
26505,3205,4,Monica Chan,2022-12-10,"$3,205.00",278,2,Regular Customers
19088,6023,6,Joanna Oliver,2023-03-28,"$6,023.00",170,0,VIP Customers
47151,447,3,Jennifer Silva,2023-07-12,$447.00,65,2,Regular Customers
26347,4934,7,James Fox,2022-06-11,"$4,934.00",461,0,VIP Customers
3951,7181,8,James Barnes,2023-09-01,"$7,181.00",13,0,VIP Customers
19364,2377,4,Ryan Hill DDS,2022-03-16,"$2,377.00",547,1,Lapsed Customers
10651,4462,7,Charles Benitez,2021-09-09,"$4,462.00",736,1,Lapsed Customers
15228,5984,8,Tiffany Grant,2023-08-21,"$5,984.00",25,0,VIP Customers
47909,3552,4,Carrie Dunn,2023-07-12,"$3,552.00",65,2,Regular Customers
49955,2808,3,Kevin Smith,2022-06-09,"$2,808.00",463,1,Lapsed Customers
32951,5697,7,Alexis Andrews,2023-06-26,"$5,697.00",81,0,VIP Customers
43184,4640,7,Erik Marshall,2022-09-29,"$4,640.00",351,0,VIP Customers
37292,2967,6,Julia Jones,2022-02-09,"$2,967.00",583,1,Lapsed Customers
2632,4689,7,John Lopez,2023-07-17,"$4,689.00",60,0,VIP Customers
40233,6663,7,Jessica Thompson,2023-06-27,"$6,663.00",79,0,VIP Customers
18311,6493,10,Chris Carter,2022-12-21,"$6,493.00",268,0,VIP Customers
23337,3844,7,Ruth Duncan,2023-08-03,"$3,844.00",43,0,VIP Customers
49866,4715,5,Meredith Bradley,2023-06-20,"$4,715.00",86,2,Regular Customers
48294,2904,5,Stephanie Smith,2023-06-10,"$2,904.00",97,2,Regular Customers
36600,3295,5,Eric Scott,2022-09-02,"$3,295.00",378,2,Regular Customers
41155,1550,3,Kyle Bush,2023-08-25,"$1,550.00",21,2,Regular Customers
17379,6067,8,Faith Fox,2023-08-29,"$6,067.00",17,0,VIP Customers
23148,3083,4,Mrs. Rebecca Smith,2023-06-23,"$3,083.00",84,2,Regular Customers
12384,9246,8,John Cox,2023-04-26,"$9,246.00",142,0,VIP Customers
31790,5722,9,Andrea Owens,2023-08-21,"$5,722.00",24,0,VIP Customers
36391,4793,6,Brian Obrien,2022-03-16,"$4,793.00",548,1,Lapsed Customers
26827,2199,2,Shawna Long,2023-06-19,"$2,199.00",87,2,Regular Customers
28714,6010,8,Wanda Harrell,2022-11-16,"$6,010.00",303,0,VIP Customers
32290,1651,4,Shawn Parks,2023-04-29,"$1,651.00",139,2,Regular Customers
4714,7165,5,Bryan Murphy,2023-05-02,"$7,165.00",136,0,VIP Customers
32334,4156,7,Michael Richard,2023-08-18,"$4,156.00",28,0,VIP Customers
36882,6974,9,Angel Nelson,2023-07-04,"$6,974.00",73,0,VIP Customers
11343,3603,5,Lisa Russell,2021-07-15,"$3,603.00",792,1,Lapsed Customers
9763,4852,7,Eric Neal,2023-01-26,"$4,852.00",231,0,VIP Customers
5436,1696,4,Scott Anderson,2023-02-02,"$1,696.00",224,2,Regular Customers
28624,6441,9,Alexander Wilson,2023-01-01,"$6,441.00",256,0,VIP Customers
35564,2139,6,Tracy Rogers,2023-09-10,"$2,139.00",4,2,Regular Customers
37403,9225,11,Caroline Davis,2023-06-29,"$9,225.00",78,0,VIP Customers
42408,7121,6,Brianna Franklin,2021-10-22,"$7,121.00",692,1,Lapsed Customers
36208,4561,9,Lori Wilson,2023-04-29,"$4,561.00",138,0,VIP Customers
18181,3839,7,Kathleen Glover,2023-08-19,"$3,839.00",26,0,VIP Customers
12095,1767,6,Christopher Sims,2023-04-03,"$1,767.00",164,2,Regular Customers
42828,7958,7,Daniel Meyers,2022-05-08,"$7,958.00",495,0,VIP Customers
33694,7720,11,Kara Parks,2023-06-30,"$7,720.00",77,0,VIP Customers
10411,3351,4,Omar Sutton,2023-07-24,"$3,351.00",53,2,Regular Customers
17971,4182,4,Michael Whitaker Jr.,2022-06-13,"$4,182.00",458,1,Lapsed Customers
24484,3753,6,Mark Burton,2023-06-05,"$3,753.00",102,2,Regular Customers
26964,4860,7,William Pace,2023-07-03,"$4,860.00",73,0,VIP Customers
20724,2767,2,Donna Burnett,2023-07-19,"$2,767.00",58,2,Regular Customers
44069,5493,8,Tiffany Aguilar,2023-08-07,"$5,493.00",38,0,VIP Customers
30175,3036,5,John Garza,2023-05-27,"$3,036.00",111,2,Regular Customers
6336,5993,5,Hannah Alexander,2022-11-23,"$5,993.00",296,0,VIP Customers
20441,4786,7,David Ferguson,2023-09-01,"$4,786.00",13,0,VIP Customers
26800,4047,6,Amanda Alvarado,2023-01-12,"$4,047.00",245,2,Regular Customers
5257,6773,8,Christopher Rojas,2023-07-29,"$6,773.00",48,0,VIP Customers
23274,6452,11,Samantha Smith,2023-07-17,"$6,452.00",60,0,VIP Customers
43180,1993,4,Bryce Miranda,2023-01-23,"$1,993.00",234,2,Regular Customers
40516,5941,6,William Rodriguez,2023-07-31,"$5,941.00",45,0,VIP Customers
28218,5623,4,Ashley Pitts,2021-08-29,"$5,623.00",746,1,Lapsed Customers
759,5772,6,Deborah Hoffman,2023-07-21,"$5,772.00",56,0,VIP Customers
9507,9799,10,Felicia Garcia,2022-09-06,"$9,799.00",374,0,VIP Customers
11646,5845,9,Jamie Carpenter,2023-06-29,"$5,845.00",77,0,VIP Customers
35280,3063,6,Bryan Mclaughlin,2022-11-05,"$3,063.00",313,2,Regular Customers
25161,6961,8,Debra Elliott,2023-08-25,"$6,961.00",21,0,VIP Customers
45031,6548,7,Jeffery Ford,2023-03-04,"$6,548.00",195,0,VIP Customers
42667,7979,8,Julie Irwin,2023-06-15,"$7,979.00",92,0,VIP Customers
17880,2574,3,Joshua Tate,2023-03-10,"$2,574.00",188,2,Regular Customers
35861,3959,7,Taylor Henderson,2023-07-10,"$3,959.00",67,0,VIP Customers
2473,1560,3,Curtis Adams,2021-02-10,"$1,560.00",946,1,Lapsed Customers
3850,2868,3,Brian Jackson,2023-01-29,"$2,868.00",229,2,Regular Customers
42314,264,2,Steven Fields,2021-12-10,$264.00,644,1,Lapsed Customers
20078,4392,6,Jennifer Foster DDS,2023-08-02,"$4,392.00",44,0,VIP Customers
18390,6299,10,Brittney Ryan,2022-12-05,"$6,299.00",284,0,VIP Customers
27387,1697,2,Omar Martinez,2023-09-13,"$1,697.00",1,2,Regular Customers
49622,7985,12,Scott Hernandez,2023-08-10,"$7,985.00",35,0,VIP Customers
8870,5642,7,Catherine Sellers,2023-06-16,"$5,642.00",90,0,VIP Customers
23445,5773,7,Craig Buchanan,2023-02-22,"$5,773.00",204,0,VIP Customers
48344,2485,3,Alejandra Pope,2023-08-12,"$2,485.00",34,2,Regular Customers
40972,4149,5,Matthew Branch,2023-07-11,"$4,149.00",65,2,Regular Customers
10937,5815,6,John Contreras,2022-07-01,"$5,815.00",440,0,VIP Customers
988,3516,4,Shelley Anderson,2022-01-03,"$3,516.00",620,1,Lapsed Customers
13285,4146,5,Anita Valdez,2023-07-07,"$4,146.00",70,2,Regular Customers
46559,3181,6,Charles Hodge,2023-02-28,"$3,181.00",199,2,Regular Customers
21041,5574,6,Ronnie Hanson,2023-09-07,"$5,574.00",8,0,VIP Customers
6757,3074,5,Brooke Thompson,2022-09-16,"$3,074.00",363,2,Regular Customers
20095,6017,6,Mr. Devin Wilson,2023-08-14,"$6,017.00",31,0,VIP Customers
12179,3967,8,Anthony Wood,2022-07-19,"$3,967.00",422,0,VIP Customers
41187,7237,7,Austin Hamilton,2023-08-10,"$7,237.00",35,0,VIP Customers
30366,6708,6,Joel Dennis,2023-05-03,"$6,708.00",135,0,VIP Customers
31456,2284,5,Rachael Stone,2023-08-23,"$2,284.00",23,2,Regular Customers
46606,4688,9,Elizabeth Lawrence,2023-08-10,"$4,688.00",35,0,VIP Customers
46829,3143,7,James Matthews,2022-10-31,"$3,143.00",318,2,Regular Customers
27831,3641,10,Steven Robertson,2023-07-28,"$3,641.00",48,0,VIP Customers
2728,4947,8,Jay Meyer,2023-02-07,"$4,947.00",219,0,VIP Customers
19296,3384,5,Laura Wells,2023-04-11,"$3,384.00",157,2,Regular Customers
18131,3767,5,Kaitlin Drake,2023-09-14,"$3,767.00",1,2,Regular Customers
26499,1075,2,Patricia Hicks,2023-08-13,"$1,075.00",33,2,Regular Customers
4742,3870,4,Colleen Soto,2023-08-19,"$3,870.00",26,2,Regular Customers
31914,1752,5,Daniel Day,2022-10-18,"$1,752.00",332,2,Regular Customers
20287,6434,7,Rebecca Haas,2023-08-13,"$6,434.00",32,0,VIP Customers
49611,3836,4,Raymond Phelps,2023-03-15,"$3,836.00",183,2,Regular Customers
35869,3126,5,Terry Clark,2023-02-02,"$3,126.00",225,2,Regular Customers
10020,4996,6,Kristen Graham,2023-08-09,"$4,996.00",36,0,VIP Customers
9416,4678,8,David Peters,2022-11-12,"$4,678.00",306,0,VIP Customers
32971,2809,5,William Stone,2023-01-12,"$2,809.00",246,2,Regular Customers
19216,2924,3,Jackie Spence,2023-08-17,"$2,924.00",29,2,Regular Customers
12335,4360,5,Jennifer Richardson,2022-06-17,"$4,360.00",454,2,Regular Customers
22158,4673,7,Tracey Robinson,2023-08-16,"$4,673.00",29,0,VIP Customers
46709,2515,7,Melissa Bailey,2023-07-04,"$2,515.00",72,2,Regular Customers
32346,3336,5,Dawn Wilson,2023-08-29,"$3,336.00",16,2,Regular Customers
17088,7946,8,Elizabeth Young,2023-03-27,"$7,946.00",171,0,VIP Customers
48448,3592,7,Christopher Carrillo,2023-05-13,"$3,592.00",124,0,VIP Customers
31907,3740,6,Brandon Kennedy,2023-08-05,"$3,740.00",40,2,Regular Customers
39644,2962,3,Amber Martinez,2022-03-26,"$2,962.00",537,1,Lapsed Customers
19121,2639,6,Joel Wells,2023-06-01,"$2,639.00",106,2,Regular Customers
19215,1815,3,Tammy Mendez,2022-10-07,"$1,815.00",342,2,Regular Customers
22239,4635,5,Eddie Romero,2023-03-08,"$4,635.00",190,2,Regular Customers
48180,3335,5,Mitchell Barrett,2022-11-09,"$3,335.00",310,2,Regular Customers
29363,7633,7,Andrea Harmon,2023-07-02,"$7,633.00",74,0,VIP Customers
44605,3851,5,Stephanie Martinez,2023-08-26,"$3,851.00",19,2,Regular Customers
40699,2834,5,Ronald Kelley,2023-09-13,"$2,834.00",2,2,Regular Customers
40935,6450,6,Andre Wang,2022-08-29,"$6,450.00",381,0,VIP Customers
37217,3765,7,Thomas Davis,2023-08-29,"$3,765.00",17,0,VIP Customers
23914,1843,4,Jennifer Kline,2022-09-14,"$1,843.00",365,2,Regular Customers
2157,5252,7,Joseph Carroll,2023-08-22,"$5,252.00",23,0,VIP Customers
15677,3612,5,Hailey Cooke,2022-03-22,"$3,612.00",542,1,Lapsed Customers
36099,3930,4,Joshua Evans,2022-03-12,"$3,930.00",552,1,Lapsed Customers
16006,11475,12,Brian Williams,2023-05-12,"$11,475.00",126,0,VIP Customers
1673,3835,3,Leah Jackson,2023-01-15,"$3,835.00",242,2,Regular Customers
33377,5497,6,Kenneth Jones,2022-11-04,"$5,497.00",314,0,VIP Customers
43766,1694,6,Hannah Merritt,2023-09-03,"$1,694.00",12,2,Regular Customers
4299,2188,3,Mr. Jason Anthony,2023-06-29,"$2,188.00",78,2,Regular Customers
35043,5752,7,Brett Keith,2023-06-25,"$5,752.00",82,0,VIP Customers
17282,1347,6,Dean Cooke,2023-07-25,"$1,347.00",52,2,Regular Customers
29184,9910,8,Allen Griffin,2023-03-07,"$9,910.00",191,0,VIP Customers
14402,2167,4,Amy Brown,2022-08-13,"$2,167.00",397,2,Regular Customers
37400,5807,8,Teresa Miller,2023-07-22,"$5,807.00",55,0,VIP Customers
33755,4774,9,Christina Shaffer,2023-06-12,"$4,774.00",94,0,VIP Customers
23680,2255,3,Richard Kelly,2022-12-16,"$2,255.00",272,2,Regular Customers
3322,3135,3,Valerie Williams,2023-03-11,"$3,135.00",188,2,Regular Customers
2533,4784,5,Susan Macias,2023-07-17,"$4,784.00",60,2,Regular Customers
22083,2547,5,William Dennis,2022-07-22,"$2,547.00",419,2,Regular Customers
26568,4247,4,Eric Thomas,2023-06-13,"$4,247.00",93,2,Regular Customers
38085,776,1,Stacey Duffy,2021-08-14,$776.00,762,1,Lapsed Customers
28441,2536,9,Andrea Mora,2023-06-27,"$2,536.00",80,0,VIP Customers
8321,3220,4,Karen Greene,2023-02-20,"$3,220.00",207,2,Regular Customers
41513,7837,6,Christopher Jones,2022-12-21,"$7,837.00",267,0,VIP Customers
24239,6274,9,Stephanie Harris,2023-01-02,"$6,274.00",255,0,VIP Customers
48435,2969,4,Kimberly Lyons,2022-07-22,"$2,969.00",420,2,Regular Customers
16242,2501,5,Randy Collins,2023-05-10,"$2,501.00",127,2,Regular Customers
16918,4644,8,Christopher Stone,2023-02-10,"$4,644.00",217,0,VIP Customers
38243,8120,8,James Hayes,2023-07-27,"$8,120.00",49,0,VIP Customers
11454,3970,3,Amanda Wright,2023-07-15,"$3,970.00",62,2,Regular Customers
22711,5450,6,Adam Wagner,2023-04-23,"$5,450.00",144,0,VIP Customers
1071,4303,6,Sabrina Lewis,2023-08-19,"$4,303.00",27,2,Regular Customers
15593,4964,6,Angela Nelson,2023-03-07,"$4,964.00",192,0,VIP Customers
6369,5929,8,April Mckinney,2023-09-12,"$5,929.00",2,0,VIP Customers
12904,2821,7,Brandy Moore,2023-04-02,"$2,821.00",165,2,Regular Customers
45018,1580,5,Crystal Gregory,2023-05-08,"$1,580.00",129,2,Regular Customers
27113,4504,6,Ryan Peterson,2023-05-30,"$4,504.00",107,0,VIP Customers
5666,679,4,Ashlee Hoover,2023-01-14,$679.00,244,2,Regular Customers
19113,6229,7,Marcus Lyons,2022-12-21,"$6,229.00",268,0,VIP Customers
9859,6586,8,Cody Warner,2023-04-19,"$6,586.00",149,0,VIP Customers
29719,1957,7,Kyle Garcia,2022-07-07,"$1,957.00",435,2,Regular Customers
24384,7060,11,Jake Miller,2023-04-05,"$7,060.00",162,0,VIP Customers
2102,2860,4,Jeffrey Harris,2022-03-03,"$2,860.00",561,1,Lapsed Customers
34604,3853,5,Tracey Stanton,2023-06-09,"$3,853.00",98,2,Regular Customers
43438,7080,9,Justin Jones,2023-08-16,"$7,080.00",30,0,VIP Customers
45565,7082,6,Mary Johnson,2023-05-02,"$7,082.00",135,0,VIP Customers
35054,2577,5,Sarah Odom,2023-01-01,"$2,577.00",257,2,Regular Customers
25525,4426,5,James Barajas,2023-05-20,"$4,426.00",118,2,Regular Customers
34312,6409,10,Kelly Ortiz,2023-08-19,"$6,409.00",26,0,VIP Customers
36900,2344,5,Jeffrey Jackson,2023-06-25,"$2,344.00",82,2,Regular Customers
7445,5118,6,Mallory Boyd,2023-06-10,"$5,118.00",97,0,VIP Customers
21582,6134,11,Stephen Becker,2023-07-21,"$6,134.00",55,0,VIP Customers
37866,6648,4,Rachel Robinson,2022-01-28,"$6,648.00",594,1,Lapsed Customers
12148,5656,7,Mary Compton,2023-04-01,"$5,656.00",167,0,VIP Customers
45621,1284,4,Mrs. Linda Rich,2023-05-03,"$1,284.00",135,2,Regular Customers
20810,5008,4,Ebony Collins,2022-10-28,"$5,008.00",322,2,Regular Customers
8691,5288,5,Jimmy Lewis,2023-07-10,"$5,288.00",66,2,Regular Customers
21823,7565,8,Jerry Anderson,2023-03-19,"$7,565.00",180,0,VIP Customers
20664,4654,6,Haley Morgan,2023-07-28,"$4,654.00",49,0,VIP Customers
49271,5904,7,Kristi Welch,2022-12-11,"$5,904.00",278,0,VIP Customers
16518,4310,6,James Johnson III,2023-09-08,"$4,310.00",6,2,Regular Customers
6311,3935,4,Gary Ward,2023-04-10,"$3,935.00",158,2,Regular Customers
41921,4073,5,Michael Chandler,2023-02-08,"$4,073.00",219,2,Regular Customers
36103,577,3,Michelle Marquez,2022-12-27,$577.00,262,2,Regular Customers
31148,6902,6,Daniel Brown,2023-04-22,"$6,902.00",146,0,VIP Customers
8566,6157,5,Carla Burton,2022-11-05,"$6,157.00",314,0,VIP Customers
19914,1533,4,Adam Smith,2023-09-08,"$1,533.00",7,2,Regular Customers
22476,2935,8,Brian Mitchell,2023-08-28,"$2,935.00",18,0,VIP Customers
23305,2032,3,Alexandra Reed,2023-05-22,"$2,032.00",115,2,Regular Customers
43695,8010,12,Bradley Richardson,2023-09-06,"$8,010.00",9,0,VIP Customers
40848,2741,7,Dawn Turner,2023-03-30,"$2,741.00",169,2,Regular Customers
17967,4345,7,Wendy Johnson,2023-06-18,"$4,345.00",88,0,VIP Customers
13518,5971,9,Erica Turner,2022-04-26,"$5,971.00",507,0,VIP Customers
32116,2447,4,Randy Stevens,2021-09-03,"$2,447.00",742,1,Lapsed Customers
13918,3331,4,Jason Todd,2023-06-22,"$3,331.00",84,2,Regular Customers
20854,5977,10,Teresa Riley,2023-08-17,"$5,977.00",28,0,VIP Customers
23891,5902,9,Jennifer Shaw,2023-04-13,"$5,902.00",155,0,VIP Customers
46153,4916,7,Tony Chen,2023-08-04,"$4,916.00",41,0,VIP Customers
10807,2589,3,Jon Chavez,2022-09-25,"$2,589.00",355,2,Regular Customers
33300,4831,4,Lisa Duran,2021-09-18,"$4,831.00",726,1,Lapsed Customers
36614,9661,10,Mrs. Amy Owens MD,2023-08-18,"$9,661.00",27,0,VIP Customers
5981,5345,6,Bryan Bowen,2022-09-08,"$5,345.00",372,0,VIP Customers
8946,3866,6,Courtney Lane,2023-06-02,"$3,866.00",104,2,Regular Customers
16361,3884,6,Katherine Wall,2022-11-15,"$3,884.00",303,2,Regular Customers
48634,4154,5,Kristopher Reed,2023-09-05,"$4,154.00",10,2,Regular Customers
43690,4967,6,Sandra Foster,2023-04-03,"$4,967.00",164,0,VIP Customers
31073,5830,8,Mike Hernandez,2023-07-07,"$5,830.00",69,0,VIP Customers
31741,7149,8,Amanda Barber,2023-05-01,"$7,149.00",137,0,VIP Customers
6476,5642,5,Nancy Hernandez,2023-06-30,"$5,642.00",77,0,VIP Customers
35355,3680,10,Rebecca Oliver,2023-09-09,"$3,680.00",6,0,VIP Customers
39216,7916,6,Sean Marshall,2023-06-24,"$7,916.00",82,0,VIP Customers
